id,tipo_geometria,num_puntos,longitud,latitud,longitud_final,latitud_final,centro_longitud,centro_latitud,area_aproximada,cuadrante
0,LineString,15,294884.3906,8655493.4977,294832.4783,8654371.8923,294865.405387,8654932.062211,,NE
1,LineString,7,294532.9972,8655390.9481,293918.6589,8654295.4601,294241.315311,8654834.121357,,NE
2,LineString,11,295891.118,8655972.1742,295491.5709,8655856.4932,295690.758916,8655915.030786,,NE
3,LineString,11,294307.8658,8655383.4049,294386.9949,8655373.2971,294346.938659,8655375.950654,,NE
4,LineString,33,295930.9755,8655841.5044,296392.0576,8656217.5649,296086.885077,8656072.400148,,NE
5,LineString,8,295533.5932,8655719.6698,295930.9755,8655841.5044,295732.700904,8655780.352539,,NE
6,LineString,7,295491.5709,8655856.4932,295533.5932,8655719.6698,295511.272328,8655788.014782,,NE
7,LineString,8,270152.8842,8689230.1478,270513.2853,8689406.8022,270332.711489,8689319.231673,,NE
8,LineString,51,269837.4415,8690353.7329,270392.2999,8689789.1536,270111.729976,8690008.848635,,NE
9,LineString,53,269903.3794,8690422.3447,271194.878,8689217.7017,270599.438615,8689872.296799,,NE
10,LineString,104,270671.0677,8689109.1011,270392.2999,8689789.1536,270522.421359,8689471.610906,,NE
11,LineString,3,270681.879,8689851.3779,270490.5707,8689741.0186,270583.267191,8689798.542608,,NE
12,MultiLineString,0,,,,,,,,Unknown
13,LineString,9,270854.1245,8664614.0163,271439.0611,8664344.7198,271148.205688,8664482.890365,,NE
14,LineString,9,277760.6944,8665957.9092,275696.0175,8663373.189,276728.947041,8664665.101105,,NE
15,LineString,6,274460.1463,8678618.0674,272872.6149,8678073.3523,273666.821743,8678344.449208,,NE
16,LineString,33,275208.7099,8667225.8524,275224.7696,8669223.7756,275144.094922,8668231.147789,,NE
17,LineString,89,292493.3072,8674979.2464,289328.8275,8673951.845,290940.66676,8674541.459906,,NE
18,LineString,6,276879.9353,8683488.6787,277218.9352,8683171.9012,277060.840704,8683341.031787,,NE
19,LineString,55,276347.7489,8660367.7226,276959.1487,8660630.6879,276620.113081,8660571.059141,,NE
20,LineString,21,278391.5462,8666007.1409,280677.4257,8666379.584,279542.505164,8666166.000276,,NE
21,LineString,38,274570.856,8671385.7313,272422.2411,8671283.8711,273498.711234,8671241.229844,,NE
22,LineString,17,275244.8685,8673700.9541,269623.3808,8673908.2373,272435.412342,8673658.055277,,NE
23,LineString,3,273767.5572,8667055.9683,272986.7918,8666906.6454,273377.000876,8666982.206732,,NE
24,LineString,33,271083.3228,8672623.7956,270564.5115,8673596.0292,270835.6434,8673119.51318,,NE
25,LineString,5,273919.6459,8667445.7955,275172.4878,8667565.2933,274545.989109,8667506.383941,,NE
26,LineString,3,271708.8635,8665661.8967,270891.3644,8665572.3513,271300.346013,8665615.226234,,NE
27,LineString,22,271933.33,8689175.8155,270028.1097,8690553.6322,270992.345274,8689889.028883,,NE
28,LineString,41,285378.4637,8665225.3373,283199.6928,8664451.4677,284297.113246,8664807.284138,,NE
29,LineString,6,272656.4765,8675490.6683,271576.9197,8676644.8387,272111.294637,8676062.650483,,NE
30,LineString,9,281211.1384,8659889.0233,282038.5429,8658663.811,281626.565839,8659277.586023,,NE
31,LineString,33,280173.5678,8653484.4582,281550.0511,8652259.624,280828.651605,8652823.331865,,NE
32,LineString,7,277261.273,8670815.5871,279241.7022,8669098.3417,278223.29772,8669976.07635,,NE
33,LineString,12,273710.6744,8687381.4532,272818.3796,8688327.6832,273267.433294,8687857.289075,,NE
34,LineString,28,274031.6863,8687538.2779,275787.0533,8687776.5788,274906.375457,8687663.62096,,NE
35,LineString,10,276579.6372,8670942.5376,277261.273,8670815.5871,276948.470188,8670953.193931,,NE
36,LineString,19,275794.0538,8670332.3413,276590.3762,8670893.1757,276198.290476,8670602.688943,,NE
37,LineString,20,281240.526,8667111.1083,280677.4257,8666379.584,280965.747223,8666740.968793,,NE
38,LineString,52,277941.7568,8683828.0968,281188.0968,8688507.0172,279443.94355,8686257.032308,,NE
39,LineString,4,276744.5452,8660413.0539,277673.9301,8659455.0741,277209.169714,8659933.957452,,NE
40,LineString,88,273366.5145,8689701.8576,276108.395,8686164.753,274635.009877,8687837.476403,,NE
41,LineString,3,274529.0359,8661909.0745,273894.2189,8662138.3334,274211.391648,8662023.112434,,NE
42,LineString,2,274385.0988,8662084.4795,273936.0567,8662243.6608,274160.57775,8662164.07015,,NE
43,LineString,7,273936.0567,8662243.6608,273053.3978,8662700.5533,273489.366371,8662466.98992,,NE
44,LineString,9,273053.3978,8662700.5533,270311.5521,8664000.4556,271672.665335,8663331.168727,,NE
45,LineString,9,284953.0092,8648348.4153,282470.3234,8650824.565,283702.274948,8649576.880044,,NE
46,LineString,6,270353.1456,8690953.1577,269045.5154,8691551.6144,269699.795701,8691253.568362,,NE
47,MultiLineString,0,,,,,,,,Unknown
48,LineString,58,287840.2447,8661002.5321,287096.0088,8661469.1256,287479.237886,8661187.809917,,NE
49,LineString,50,274531.0214,8684541.4533,273894.0507,8684464.8423,274208.502298,8684496.316424,,NE
50,LineString,272,271927.9467,8686058.9089,274039.6931,8686390.516,272906.57869,8686272.630939,,NE
51,LineString,22,280413.465,8656963.8341,280278.6401,8661360.7796,280356.050999,8659162.247876,,NE
52,LineString,4,272960.4592,8662570.0558,272702.1158,8662683.5703,272833.181322,8662631.563781,,NE
53,LineString,48,275732.228,8675181.0282,276119.0877,8676362.402,275930.926195,8675772.252678,,NE
54,LineString,96,272663.8033,8677441.6233,269616.1839,8675712.9225,270960.463998,8676954.822923,,NE
55,LineString,5,269996.7694,8674665.824,271672.5916,8674620.2945,270834.52072,8674681.576582,,NE
56,LineString,2,271576.9197,8676644.8387,271390.5051,8676870.3582,271483.7124,8676757.59845,,NE
57,LineString,6,272363.442,8688778.1815,271933.33,8689175.8155,272153.434773,8688982.656075,,NE
58,LineString,5,272818.3796,8688327.6832,272363.442,8688778.1815,272591.125098,8688553.207087,,NE
59,LineString,2,273949.8886,8687150.4281,273710.6744,8687381.4532,273830.2815,8687265.94065,,NE
60,LineString,28,273998.8657,8687201.8062,274039.6931,8686390.516,273948.966175,8686813.54929,,NE
61,LineString,36,274039.6931,8686390.516,273894.0507,8684464.8423,273984.22055,8685426.226779,,NE
62,LineString,19,279289.2141,8686164.2377,279007.2113,8686755.9532,279143.093971,8686452.502448,,NE
63,LineString,12,278820.9922,8687175.4098,279007.2113,8686755.9532,278905.161316,8686961.764654,,NE
64,LineString,123,274112.6075,8681722.4192,271805.1976,8678178.7348,273070.243601,8679865.635116,,NE
65,LineString,6,273894.2189,8662138.3334,272988.2942,8662554.6516,273446.657016,8662365.426853,,NE
66,LineString,15,277760.6944,8665957.9092,275000.0149,8666795.1827,276376.850764,8666371.148441,,NE
67,LineString,10,282229.3411,8658387.6627,283694.4854,8658518.3345,282961.778155,8658454.615183,,NE
68,LineString,4,268385.3997,8694472.2465,265985.0358,8696987.2054,267186.577961,8695731.022226,,NE
69,LineString,3,275000.0149,8666795.1827,274956.4634,8667195.12,274978.31246,8666995.159286,,NE
70,LineString,6,275696.0175,8663373.189,274485.4821,8661854.5576,275090.77858,8662613.850203,,NE
71,LineString,4,289017.5026,8650832.9918,289514.4357,8649996.7381,289265.264415,8650414.445628,,NE
72,LineString,27,289547.1734,8646792.4663,290247.5842,8646278.4133,289912.269187,8646544.594262,,NE
73,LineString,9,290247.5842,8646278.4133,290726.5211,8645454.4631,290483.178433,8645864.925268,,NE
74,LineString,28,285600.8625,8661931.9346,285851.5612,8662309.1239,285726.461058,8662116.719243,,NE
75,LineString,10,283028.9549,8657257.6584,282036.068,8655748.4085,282532.00364,8656503.312019,,NE
76,LineString,46,273760.9982,8687437.6437,274727.8917,8683192.2883,274521.686804,8685446.337841,,NE
77,LineString,8,275083.3046,8687049.2447,274593.7363,8686595.7287,274861.676962,8686795.703912,,NE
78,LineString,2,274042.2566,8670279.5462,273946.0009,8670459.8959,273994.12875,8670369.72105,,NE
79,LineString,23,280197.1468,8655875.987,280413.465,8656963.8341,280253.425338,8656425.195029,,NE
80,LineString,39,280256.6262,8654069.5663,280197.1468,8655875.987,280266.055508,8654974.557387,,NE
